label_id,gsv_panorama_id,label_type,severity,geometry,zoom,heading,pitch,photographer_heading,photographer_pitch,user_id,lat,lng,cluster_id,clustered,cluster_label_count,way_type,distance_to_road,distance_to_intersection,tag,tag_count,description
10,pMph48Z6Xz2hexFJ7q3d_Q,CurbRamp,2.0,POINT (-87.98060607910156 42.08378601074219),3,288.65625,-13.1875,268.22509765625,-0.5620269775390621,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.08378601074219,-87.98060607910156,7014,0,1,secondary,36.43425427297328,39.39350816438448,1.0,1.0,0.0
12,pMph48Z6Xz2hexFJ7q3d_Q,CurbRamp,3.0,POINT (-87.98036193847656 42.08381652832031),3,42.63616180419922,-16.03348159790039,268.22509765625,-0.5620269775390621,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.08381652832031,-87.98036193847656,7719,0,1,residential,27.337528880871886,40.358872466062365,1.0,2.0,0.0
13,pMph48Z6Xz2hexFJ7q3d_Q,CurbRamp,2.0,POINT (-87.9805908203125 42.083824157714844),3,305.8504333496094,-7.372767925262451,268.22509765625,-0.5620269775390621,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.08382415771485,-87.9805908203125,6829,0,1,secondary,32.57277273252208,43.58620204807344,1.0,1.0,0.0
15,JNAmJAZYxrX7YSC4C3EwtA,SurfaceProblem,1.0,POINT (-87.97992706298828 42.08382034301758),3,33.60491180419922,-15.194196701049805,269.9814453125,0.073532104492187,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.08382034301758,-87.97992706298828,14517,0,1,residential,30.729777487176975,0.0,1.0,1.0,0.0
16,VvFlgEkOuGmMtvvgO6lZog,CurbRamp,1.0,POINT (-87.9793701171875 42.083770751953125),2,315.2299194335937,-14.551339149475098,270.5596923828125,1.520401000976562,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.083770751953125,-87.9793701171875,6233,1,3,residential,15.248823337144774,33.72101253844582,0.0,0.0,0.0
17,VvFlgEkOuGmMtvvgO6lZog,CurbRamp,1.0,POINT (-87.97930908203125 42.08381652832031),2,356.390625,-14.997767448425291,270.5596923828125,1.520401000976562,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.08381652832031,-87.97930908203125,8380,1,3,residential,13.545810399123772,35.04150232363932,0.0,0.0,0.0
21,VvFlgEkOuGmMtvvgO6lZog,CurbRamp,1.0,POINT (-87.97919464111328 42.08362579345703),3,137.86160278320312,-12.84375,270.5596923828125,1.520401000976562,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.08362579345703,-87.97919464111328,6212,1,3,residential,18.38689079144217,41.12611028856551,0.0,0.0,0.0
24,XVObJ1fFXW5V_dR99Bw4ZA,CurbRamp,1.0,POINT (-87.9781494140625 42.08367919921875),1,159.4732208251953,-29.133928298950195,279.5379333496094,-0.131637573242187,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.08367919921875,-87.9781494140625,8072,1,3,residential,17.56847140473074,34.92794380359966,0.0,0.0,0.0
25,XVObJ1fFXW5V_dR99Bw4ZA,CurbRamp,1.0,POINT (-87.9781723022461 42.083740234375),1,26.53571510314941,-34.8125,279.5379333496094,-0.131637573242187,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.083740234375,-87.9781723022461,6222,1,3,residential,4.67277413753364,36.702341102758034,0.0,0.0,0.0
27,wBQaG5SmchficeR3txOuZg,CurbRamp,1.0,POINT (-87.97810363769531 42.0836296081543),1,205.2232208251953,-29.375,327.56646728515625,-0.143836975097656,3e25ea1d-f762-421a-b98b-3cba36e1bbfb,42.0836296081543,-87.97810363769531,6206,1,2,residential,18.15339601427526,39.818454822308894,0.0,0.0,0.0
