label_id,gsv_panorama_id,label_type,severity,geometry,zoom,heading,pitch,photographer_heading,photographer_pitch,user_id,lat,lng,cluster_id,clustered,cluster_label_count,way_type,distance_to_road,distance_to_intersection,tag,tag_count,description
59,7l-j4D7uhfKRQPpYXIU59w,Obstacle,2.0,POINT (-74.03707122802734 40.94615936279297),3,225.5736541748047,-11.361607551574709,20.765853881835938,0.262733459472656,503d2482-420f-454e-8118-aac2d22592aa,40.94615936279297,-74.03707122802734,8057,0,1,residential,10.535272341965822,0.0,1.0,1.0,0.0
137,adXdsY189n44f0_ae5Hptg,NoCurbRamp,5.0,POINT (-74.03673553466797 40.96704864501953),1,278.3253479003906,-27.1200008392334,291.72418212890625,3.633377075195312,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96704864501953,-74.03673553466797,2573,0,1,residential,1.6261802278613875,35.37019924760483,1.0,1.0,0.0
139,adXdsY189n44f0_ae5Hptg,SurfaceProblem,1.0,POINT (-74.03650665283203 40.96693420410156),2,158.08428955078125,-17.28071403503418,291.72418212890625,3.633377075195312,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96693420410156,-74.03650665283203,8598,1,2,residential,21.374182471914104,0.0,1.0,2.0,0.0
142,adXdsY189n44f0_ae5Hptg,SurfaceProblem,1.0,POINT (-74.03662109375 40.96712112426758),2,324.1557006835937,-22.816429138183597,291.72418212890625,3.633377075195312,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96712112426758,-74.03662109375,11265,0,1,residential,33.87617336445038,0.0,1.0,2.0,0.0
149,ZPQwHRwEFqkXNlzq_VuPZQ,SurfaceProblem,2.0,POINT (-74.036865234375 40.967185974121094),3,312.2606201171875,-14.5625,287.2796325683594,2.883697509765625,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96718597412109,-74.036865234375,11268,0,1,residential,32.57895475068276,0.0,1.0,2.0,0.0
153,He4qtuUvuFjM51HzVutncg,SurfaceProblem,4.0,POINT (-74.03703308105469 40.9670524597168),3,210.22044372558597,-14.511160850524902,303.5188903808594,2.315711975097656,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.9670524597168,-74.03703308105469,11136,1,2,residential,29.2735934448516,0.0,1.0,2.0,0.0
225,HJsE6_twNF3Fv5W7WT36DQ,SurfaceProblem,1.0,POINT (-74.02985382080078 40.969810485839844),3,290.1495666503906,-11.703125,11.178536415100098,0.349540710449218,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96981048583984,-74.02985382080078,8592,0,1,primary,45.585480667329,0.0,1.0,1.0,0.0
242,RZ3TNSHFI87lhHKmeflLpw,SurfaceProblem,1.0,POINT (-74.0297622680664 40.970096588134766),3,256.8772277832031,-9.029017448425291,11.467979431152344,0.328407287597656,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.970096588134766,-74.0297622680664,8588,0,1,primary,49.9650494908615,0.0,1.0,2.0,0.0
249,prIRqictfnDl7-0bm0AAvA,NoCurbRamp,5.0,POINT (-74.03545379638672 40.9652099609375),1,321.3415222167969,-21.54910659790039,5.335297584533691,-0.427978515625,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.9652099609375,-74.03545379638672,2394,1,2,residential,21.566126524637312,45.43681128618655,1.0,1.0,0.0
254,tIGtTrhteD-W_WIZXh3Kzw,SurfaceProblem,2.0,POINT (-74.03543853759766 40.96522903442383),2,53.82366180419922,-18.95089340209961,271.414306640625,3.4533462524414062,e86fdc72-c79d-4cdc-b5b2-8ef4859141d2,40.96522903442383,-74.03543853759766,9826,0,1,residential,18.0405073722146,0.0,1.0,2.0,0.0
